23:04:52.785 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2275
23:04:52.785 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2275is not prime but doesn't exist in Fibonacci Series.
23:04:52.785 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2276Size of Array = 10000
23:04:52.827 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.827 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2276
23:04:52.827 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2276is not prime but doesn't exist in Fibonacci Series.
23:04:52.827 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2277Size of Array = 10000
23:04:52.871 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.871 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2277
23:04:52.871 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2277is not prime but doesn't exist in Fibonacci Series.
23:04:52.871 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2278Size of Array = 10000
23:04:52.912 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.912 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2278
23:04:52.912 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2278is not prime but doesn't exist in Fibonacci Series.
23:04:52.912 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2279Size of Array = 10000
23:04:52.956 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.956 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2279
23:04:52.956 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2279is not prime but doesn't exist in Fibonacci Series.
23:04:52.956 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2280Size of Array = 10000
23:04:53.000 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.000 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2280
23:04:53.000 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2280is not prime but doesn't exist in Fibonacci Series.
23:04:53.000 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2281Size of Array = 10000
